profile	stage_name	full_name	korean_name	korean_stage_name	date_of_birth	group	country	second_country	height	weight	birthplace	other_group	former_group	gender	position	instagram	twitter
Profile	J-Hope	Jung Hoseok	정호석	제이홉	1994-02-18	BTS	South Korea		177	65	Gwangju			M			
	J-Kid	Han Jeonghoon	한정훈	제이키드	2000-02-14	ENOi	South Korea		177	61				M			
	J-Min	Jeon Minwook	전민욱	제이민	1999-10-16	BAE173	South Korea		0	0				M			
	J-Us	Lee Seungjoon	이승준	제이어스	1995-01-13	ONF	South Korea		0	0	Seoul			M			
Profile	J.seph	Kim Taehyung	김태형	제이셉	1992-06-21	KARD	South Korea	USA	0	0				M			
	J.YOU	Kim Jaeyu	김제유	제유	2000-11-02	TOO	South Korea		0	0				M			
Profile	Jackson	Jackson Wang	잭슨 왕	잭슨	1994-03-28	GOT7	Hong Kong		174	63	Hong Kong			M			
Profile	Jacob	Bae Joonyoung	배준영	제이콥	1997-05-30	The Boyz	South Korea	Canada	175	60	Toronto			M			
	Jacob	Zhang Peng	장펑	제이콥	1996-09-07	VAV	China		184	63				M			
	Jae	Park Jaehyung	박제형	제이	1992-09-15	DAY6	South Korea	Argentina,USA	0	0	Buenos Aires			M	Guitarist, Voca;		
	Jaebin	Deung Bin	등빈	재빈	1997-02-13	VARSITY	China		168	0	Hunan			M			
	Jaechan	Park Jaechan	박재찬	재찬	2001-12-06	Dongkiz	South Korea		177	58				M			
	Jaehan	Kim Jaehan	김재한	재한	1995-07-01	Spectrum	South Korea		0	0				M			
Profile	Jaehee	Lee Jaehee	이재희	재희	2004-03-18	Weeekly	South Korea		166	0				F	Rapper, Sub Vocal		
	Jaeho	Kim Jaeho	김재호	재호	1992-09-17	HISTORY	South Korea		174	58				M			
	Jaehwan	Kim Jaehwan	김재환	재환	1996-05-27	Wanna One	South Korea		0	0	Seoul			M			
Profile	Jaehyo	Ahn Jaehyo	안재효	재효	1990-12-23	Block B	South Korea		182	60	Busan			M			
	Jaehyuk	Yoon Jaehyuk	윤재혁	재혁	2001-07-23	Treasure	South Korea		0	0				M			
	Jaehyun	Jung Yoonoh	정윤오	재현	1997-02-14	NCT	South Korea		0	0	Seoul	NCT U, NCT 127		M			
	Jaehyun	Kim Jaehyun	김재현	재현	1994-07-15	N.Flying	South Korea		0	0	Seoul			M	Drummer		
	Jaehyun	Bong Jaehyun	봉재현	재현	1999-01-04	Golden Child	South Korea		0	0				M			
	Jaejin	Lee Jaejin	이재진	재진	1991-12-17	FTISLAND	South Korea		0	0	Cheongju			M	Bassist		
	Jaejoong	Kim Jaejoong	김재중	재중	1986-01-26	JYJ	South Korea		0	0	Gongju		TVXQ	M			
	Jaekyung	Kim Jaekyung	김재경	재경	1988-12-24	Rainbow	South Korea		168	45	Seoul	Rainbow Blaxx		F			
	Jaemin	Na Jaemin	나재민	재민	2000-08-13	NCT	South Korea		0	0		NCT Dream		M			
	Jaeseok	Park Jaeseok	박재석	재석	1995-11-20		South Korea		0	0			Golden Child	M			
	Jaeun	Ha Jaeun	한재운	재운	1999-09-28	ARGON	South Korea		0	0				M			
	Jaeyoon	Lee Jaeyoon	이재윤	재윤	1994-08-09	SF9	South Korea		0	0				M			
	Jaeyun	Lee Jaeyun	이재윤	이재윤	2000-08-16	TOO	South Korea		0	0				M			
	Jahan	Im Jihun	임지훈	자한	2002-08-01	Kingdom	South Korea		0	0				M			
Profile	Jake	Shim Jaeyoon	심재윤	제이크	2002-11-15	ENHYPEN	South Korea	Australia	0	0				M			
	Jamie	Park Jimin	박지민	박지민	1997-07-05	15&	South Korea		160	0	Junggu			F		jiminxjamie	
Profile	Jane	Sung Jiyeon	성지연	제인	1997-12-20	MOMOLAND	South Korea		167	46	Changwon			F			
	Jangjun	Lee Jangjun	이장준	장준	1997-03-03	Golden Child	South Korea		0	0				M			
	Jason	Kim Byeongkwan	김병관	제이슨	1996-08-13	A.C.E	South Korea		0	0	Seoul			M			
	Jay	Kim Jinhwan	김진환	제이	1994-02-07	iKON	South Korea		0	0	Jeju			M			
Profile	Jay	Park Jongsung	박종성	제이	2002-04-20	ENHYPEN	South Korea	United States	0	0				M			
Profile	JB	Im Jaebum	임재범	제이비	1994-01-06	GOT7	South Korea		179	63	Goyang			M			
	Jea	Kim Hyojin	김효진	제아	1981-09-18	Brown Eyed Girls	South Korea		0	0				F		jeaworld	
	Jeewon	Kim Jiwon	김지원	지원	1999-04-01	Cignature	South Korea		0	0	Busan		Good Day	F			
	Jehyun	Moon Jehyun	문제현	제현	1999-04-20	1TEAM	South Korea		0	0				M			
	Jei	Kim Jinhee	김진희	재이	1989-09-05	Fiestar	South Korea		162	0	Bucheon			F		kimjeii	
	Jen	Kim Yehyeon	김예현	젠	1997-03-27	UNVS	South Korea		0	0				M			
	Jenissi	Kim Taeyang	김태양	제니씨	1991-08-02		South Korea		0	0	Seoul		Topp Dogg	M			
Profile	Jennie	Kim Jennie	김제니	제니	1996-01-16	BLACKPINK	South Korea		163	50	Anyang			F			
Profile	Jenny	Lee Soyul	이소율	제니	1996-09-04		South Korea		165	47	Seoul		DIA	F			
	Jeno	Lee Jeno	이제노	제노	2000-04-23	NCT	South Korea		0	0		NCT Dream		M			
	Jeon Woong	Jeon Woong	전웅	전웅	1997-10-15	AB6IX	South Korea		173	0				M			
Profile	Jeonghan	Yoon Jeonghan	윤정한	정한	1995-10-04	Seventeen	South Korea		175	54	Seoul			M			
	Jeonghee	Go Jeonghee	고정희	정희	2000-03-11	Favorite	South Korea		0	0	Incheon			F			
	Jeongkyun	Jeong Jeongkyun	정정균	정균	1987-11-27		South Korea		180	60			N-Train, Bigflo	M			
	Jeongmin	Lee Jeongmin	이정민	정민	1994-02-01	Boyfriend	South Korea		173	60	Suwon			M			
	Jeongseung	Park Jeongseung	박정승	정승	2002-05-20	D-CRUNCH	South Korea		0	0				M			
	Jeonguk	Kim Jeonguk	김정욱	정욱	1993-03-20	24K	South Korea		178	58	Busan			M			
	Jeongwoo	Park Jeongwoo	박정우	정우	2004-09-28	Treasure	South Korea		0	0				M			
Profile	Jeongyeon	Yoo Jeongyeon	유정연	정연	1996-11-01	Twice	South Korea		168	0	Suwon			F			
Profile	Jeonyul	Jeon Yuri	전유리	전율	1994-03-20	Stellar	South Korea		0	0	Seoul			F			
	Jerome	Oh Sungmin	오성민	제롬	2001-08-25	TOO	South Korea		0	0				M			
	Jerrry	Ahn Sohyun	안소현	제리	1992-08-27	Tahiti	South Korea		0	0	Seoul			F			
	Jessica	Jessica Jung	제시카 정	제시카	1989-04-18		South Korea		0	0			SNSD	F		jessica.syj	
	Ji Hansol	Ji Hansol	지한솔	지한솔	1994-11-21	Newkidd	South Korea		182	63	Busan		UNB	M		jisol_11	
	Jia	Meng Jia	멍지아	지아	1989-02-03	miss A	China		166	0	Changja			F		mjbaby0203	
	Jia	Guo Jiajia	궈 지아지아	지아	2005-07-30	TRI.BE	China		0	0				F			
Profile	Jiae	Yoo Jiae	유지애	지애	1993-05-21	Lovelyz	South Korea		163	43	Seoul			F			
	Jiae	Kim Jiae	김지애	지애	1995-10-31	Wassup	South Korea		0	0				F			
	Jiahn	Yoo Jiahn	유지안	지안	1992-04-01	IN2IT	South Korea		176	57				M			
	Jian	Kwon Jieun	권지은	지안	2001-03-14	LUNARSOLAR	South Korea		0	0			S.E.T	F			
	Jian	Kim Jian	김지안	지안	2006-11-04	LIGHTSUM	South Korea		0	0				F			
	Jibeom	Kim Jibeom	김지범	지범	1999-02-03	Golden Child	South Korea		0	0				M			
Profile	Jieun	Song Jieun	송지은	지은	1990-05-05	SECRET	South Korea		0	0	Seoul			F		secret_jieunssong	
	Jieun	Park Jieun	박지은	지은	1997-09-04	Purple Kiss	South Korea		166	49				F			
	Jieun	Choi Jieun	최지은	지은	2001-03-03	Bling Bling	South Korea		0	0				F			
Profile	Jihan	Han Jihyo	한지효	지한	2004-07-12	Weeekly	South Korea		0	0				F	Lead Vocal		
Profile	Jiheon	Baek Jiheon	백지헌	지헌	2003-04-17	fromis_9	South Korea		0	0	Jeolla			F			
Profile	Jiho	Kim Jiho	김지호	지호	1997-04-04	Oh My Girl	South Korea		165	49	Okcheon			F			
	Jihoo	Lim Soojung	임수정	지후	1998-08-05	IZ	South Korea		0	0				M			
	Jihoon	Park Jihoon	박지훈	지훈	1999-05-29	Wanna One	South Korea		0	0	Masan			M			
	Jihoon	Park Jihoon	박지훈	지훈	2000-03-14	Treasure	South Korea		0	0	Busan			M			
Profile	Jihun	Kim Jihun	김지훈	지훈	2000-01-09	TRCNG	South Korea		176	0	Daegu			M			
	Jihun	Kim Jihun	김지훈	지훈	1995-02-20	KNK	South Korea		186	73				M			
Profile	Jihyo	Park Jisoo	박지수	지효	1997-02-01	Twice	South Korea		162	0	Guri			F	Leader, Main Vocal		
	Jihyo	Lee Jihyo	이지효	지효	2001-04-22	PRECIOUS	South Korea		166	49	Gyeonggi			F			
	Jihyun	Nam Jihyun	남지현	지현	1990-01-09	4minute	South Korea		167	0	Seoul			F		njh9019	
Profile	Jimin	Shin Jimin	신지민	지민	1991-01-08		South Korea		160	43	Seoul	AOA BLACK	AoA	F		jiminbaby_18	
Profile	Jimin	Park Jimin	박지민	지민	1995-10-13	BTS	South Korea		175	61	Busan			M			
Profile	JIN	Park Myungeun	박명은	진	1996-06-12	Lovelyz	South Korea		165	47	Busan			F			
Profile	Jin	Kim Seokjin	김석진	진	1992-12-04	BTS	South Korea		179	63	Gwacheon			M			
	Jin Jin	Park Jinwoo	박진우	진진	1996-03-15	ASTRO	South Korea		0	0	Nowon			M			
Profile	JinE	Shin Hyejin	신혜진	진이	1995-01-22		South Korea		160	48	Pohang		Oh My Girl	F			
	Jingyu	Lee Jingyu	이진규	진규	1998-04-22	Astin	South Korea		0	0				M			
	Jinha	Kim Jinha	김진하	진하	2003-11-21	TRI.BE	South Korea		0	0				F			
Profile	Jinho	Jo Jinho	조진호	조진호	1992-04-17	PENTAGON	South Korea		0	0				M			
	Jinhong	Kim Jinhong	김진홍	진홍	1998-01-02	24K	South Korea		180	53	Seoul			M			
	Jinhoo	Kim Jinwook	김진욱	진후	1995-08-02	UP10TION	South Korea		0	0	Changwon			M			
	Jinhui			진희	1996-11-21	Lusty	South Korea		160	42	Seongnam			F	Main Vocal		
	Jinhwa	Choi Jinhwa	최진화	진화	2002-01-15	BLITZERS	South Korea		180	64				M			
	Jinju	Park Jinju	박진주	진주	1990-04-28		South Korea		0	0			Wassup	F			
	Jinkwon	Kim Jinkwon	김진권	진권	2001-01-31	Newkidd	South Korea		0	0				M			
	Jinny	Park Jinhee	박진희	지니	1998-01-19	SECRET NUMBER	South Korea	USA	0	0	California			F			
Profile	Jinsol	Lee Jinsol	이진솔	진솔	2001-12-04	APRIL	South Korea		0	0	Andong			F			
Profile	JinSoul	Jung Jinsol	정진솔	진솔	1997-06-13	LOONA	South Korea		0	0		Loona Odd Eye Circle		F			
Profile	Jinsung	Jung Jinsung	정진성	진성	2002-03-30	1the9	South Korea		176	58	Seoul			M			
	Jinu	Kim Jinwoo	김진우	진우	1991-09-26	WINNER	South Korea		0	0	Imja			M			
	Jinwoo	Lee Jinwoo	이진우	진우	1996-02-20	1TEAM	South Korea		0	0				M			
	Jinwoo	Park Jinwoo	박진우	진우	2000-01-12	ENOi	South Korea		167	51				M			
	Jinwoo	Lee Jinwoo	이진우	진우	2004-09-13	Ghost9	South Korea		176	57		TEEN TEEN		M			
Profile	Jinyoung	Jung Jinyoung	정진영	진영	1991-11-18		South Korea		178	58	Chungju		B1A4	M			
Profile	Jinyoung	Park Jinyoung	박진영	진영	1994-09-22	GOT7	South Korea		178	63	Changwon			M			
Profile	Jinyoung	Bae Jinyoung	배진영	진영	2000-05-10	CIX	South Korea		0	0	Seoul		Wanna One	M			
	Jinyoung	Woo Jinyoung	우진영	진영	1997-05-31	D1CE	South Korea		170	51				M			
	Jisan	Choi Jinsang	최지상	지산	1999-11-03	Hot Blood Youth	South Korea		0	0				M			
Profile	Jisoo	Seo Jisoo	서지수	지수	1994-02-11	Lovelyz	South Korea		165	46	Incheon			F			
Profile	Jisoo	Kim Jisoo	김지수	지수	1995-01-03	BLACKPINK	South Korea		162	45	Seoul			F			
	Jisoo	Shin Jisoo	신지수	지수	1994-02-28	Tahiti	South Korea		0	0	Chuncheon			F			
	Jisoo	Jung Jisoo	정지수	지수	2003-11-22	Busters	South Korea		0	0				F			
	Jisook	Kim Jisook	김지숙	지숙	1990-07-18	Rainbow	South Korea		164	41	Suwon	Rainbow Pixie		F			
	Jisu	Choi Jisu	최지수	지수	2000-01-19	TOO	South Korea		0	0				M			
Profile	Jisun	Roh Jisun	노지선	지선	1998-11-23	fromis_9	South Korea		0	0	Seoul			F			
	Jisun	Hwang Jisun	황지선	지선	1989-10-17	S#aFLA	South Korea		165	46			Girl's Day, New F.O	F			
	Jisung	Park Jisung	박지성	지성	2002-02-05	NCT	South Korea		0	0		NCT Dream		M			
	Jisung	Yoon Jisung	윤지성	지성	1991-03-08	Wanna One	South Korea		0	0	Wonju			M			
Profile	Jisung	Kim Jisung	김지성	지성	2000-12-21	TRCNG	South Korea		171	0				M			
Profile	Jiu	Kim Minji	김민지	지유	1994-05-17	Dreamcatcher	South Korea		167	0	Daejeon		Minx	F	Leader		
Profile	Jiung	Choi Jiwoong	최지웅	지웅	2001-10-07	P1Harmony	South Korea		0	0				M			
	Jiwon	Yang Jiwon	양지원	지원	1988-04-05	UNI.T	South Korea		0	0	Seoul	SPICA-S	SPICA	F			
Profile	Jiwon	Park Jiwon	박지원	지원	1998-03-20	fromis_9	South Korea		0	0	Busan			F			
Profile	Jiwon	Heo Jiwon	허지원	지원	2000-09-04	Cherry Bullet	South Korea		0	0				F			
	Jiwon	Park Jiwon	박지원	지원	1997-03-17	BOTOPASS	South Korea		165	45			ILUV	F			
Profile	Jiwoo	Jeon Jiwoo	전지우	지우	1996-10-04	KARD	South Korea		0	0				F			
Profile	Jiyeon	Park Jiyeon	박지연	지연	1993-06-07	T-ara	South Korea		167	45	Seoul			F		jiyeon2__	
	Jiyoon	Jeon Jiyoon	전지윤	지윤	1990-10-15	4minute	South Korea		165	0	Seoul	2YOON		F		jenyerjiyoon	
Profile	Jiyoon	Woo Jiyoon	우지윤	지윤	1996-01-06	Bolbbalgan4	South Korea		0	0	Yeongju			F			
Profile	Jiyoon	Shin Jiyoon	신지윤	지윤	2002-03-02	Weeekly	South Korea		0	0				F	Lead Vocal, Lead Dancer		
	Jiyou	Im Changsook	임창숙	지유	1989-06-15	Two X	South Korea		0	0				F			
	Jiyoung	Kang Jiyoung	강지영	지영	1994-01-18		South Korea		0	0	Paju		KARA	F			
Profile	Jiyoung	Ahn Jiyoung	안지영	지영	1995-09-14	Bolbbalgan4	South Korea		0	0	Yeongju			F			
	Jiyul	Yang Jungyoon	양정윤	지율	1991-07-30		South Korea		0	0	Seoul		Dal Shabet	F			
	JJ	Jun Jihyeok	전진혁	제이제이	1998-12-11	DUSTIN	South Korea		0	0				M			
	JK	Kim Jikang	김지강	지강	1998-03-17	Girlkind	South Korea		0	161				F			
	Johnny	John Seo	존 서	쟈니	1995-02-09	NCT	USA		0	0	Chicago	NCT 127		M			
	Johyun	Shin Jiwon	신지원	조현	1996-04-14	Berry Good	South Korea		0	0				F			
	Jongho	Choi Jongho	최종호	종호	2000-10-12	ATEEZ	South Korea		176	0				M			
	Jonghoon	Choi Jonghoon	최종훈	종훈	1990-03-07	FTISLAND	South Korea		0	0	Seoul			M	Guitarist		
	Jonghwan	Jo Jonghwan	조종환	종환	1992-11-23	100%	South Korea		0	0	Seoul			M			
	Jonghyeong	Kim Jonghyeong	김종형	종형	2002-04-13	Dongkiz	South Korea		178	65				M			
	Jonghyun	Lee Jonghyun	이종현	종현	1990-05-15	CNBLUE	South Korea		0	0	Busan			M	Guitarist		
	Jonghyun†	Kim Jonghyun	김종현	종현	1990-04-08		South Korea		173	56	Seoul		SHINee	M			
Profile	Jongseob	Kim Jongseob	김종섭	종섭	2005-11-19	P1Harmony	South Korea		173	0				M			
Profile	Jongup	Moon Jongup	문종업	종업	1995-02-06	B.A.P	South Korea		176	66	Seoul			M			
	JOO	Jung Minjoo	정민주	주	1990-10-11		South Korea		0	0	Seoul			F			
Profile	Joo E	Lee Joowon	이주원	주이	1999-08-18	MOMOLAND	South Korea		164	45	Bucheon			F			
	Jooan	Im Jimyoung	임지명	주안	1996-10-04	We In The Zone	South Korea		173	58	Dongtan			M			
	Joochan	Hong Joochan	홍주찬	주찬	1999-07-31	Golden Child	South Korea		0	0				M			
	Jooheon	Lee Jooheon	이주헌	주헌	1994-10-06	MONSTA X	South Korea		0	0	Daegu			M			
	Jooyeon	Lee Jooyeon	이주연	주연	1987-03-19		South Korea		0	0	Seoul		After School	F		jupppal	
Profile	Joshua	Hong Jisoo	홍지수	조슈아	1995-12-30	Seventeen	USA	South Korea	176	63	Los Angeles			M			
Profile	Joy	Park Sooyoung	박수영	조이	1996-09-03	Red Velvet	South Korea		163	0	Jeju			F			
	JR	Kim Jonghyun	김종현	제이알	1995-06-08	NU'EST	South Korea		0	0	Gangwon	NU'EST W		M			
	Ju-ne	Koo Junhoe	구준회	준회	1997-03-31	iKON	South Korea		0	0	Seoul			M			
	Jueun	Lee Jooeun	이주은	주은	1995-07-07	DIA	South Korea		0	0	Suwon	BinChaenHyunSeuS		F			
	Jueun	Jo Jueun	조주은	주은	2001-01-27	ARIAZ	South Korea		0	0				F			
Profile	Juhaknyeon	Ju Haknyeon	주학년	주학년	1999-03-09	The Boyz	South Korea		175	58	Jeju			M			
	Juhan	Hong Seunghyun	홍승현	주한	2001-06-21	BLITZERS	South Korea		0	0				M			
	Juhyeon	Lee Juhyeon	이주현	주현	2004-04-08	LIGHTSUM	South Korea		171	48				F			
	Juhyun	Cha Juhyun	차주현	주현	2000-04-01	Bling Bling	South Korea		0	0				F			
	Juju	Park Juyoung	박주영	쥬쥬	1996-01-03	Gate9	South Korea		168	0	Changwon			F		baby.juju_0	
Profile	Jun	Weng Junhui	원쥔훼이	준	1996-06-10	Seventeen	China		180	63	Shenzen			M			
	Jun	Lee Junyoung	이준영	준	1997-01-22	U-KISS	South Korea		0	0				M			
	Jun	Park Junhee	박준희	준	1994-06-02	A.C.E	South Korea		0	0	Jeolla			M			
	Jun H.	Im Joonhyun	임준현	준현	1991-08-28	UNVS	South Korea		0	0				M			
	Jun Jin	Park Choongjae	박충재	전진	1980-08-19	Shinhwa	South Korea		182	75	Seoul			M			
	Jun. K	Kim Minjun	김민준	준케이	1988-01-15	14:00	South Korea		180	68	Daegu			M			
	Jungah	Kim Jungah	김정아	정아	1983-08-02		South Korea		0	0	Incheon		After School	F		i_am_jjunga	
	Junghoon	Lee Junghoon	이정훈	정훈	2000-07-04	1TEAM	South Korea		0	0				M			
	Junghun	Jang Junghun	장정훈	정훈	1999-02-27	Astin	South Korea		0	0				M			
Profile	Junghwa	Park Junghwa	박정화	정화	1995-05-08	EXID	South Korea		169	0	Anyang		EXID	F		jeonghwa_0508	
	Junghwan	So Junghwan	소정환	정환	2005-02-18	Treasure	South Korea		0	0				M			
Profile	Jungkook	Jeon Jungkook	전정국	정국	1997-09-01	BTS	South Korea		178	66	Busan			M			
	Jungmo	Koo Jungmo	구정모	정모	2000-02-05	CRAVITY	South Korea		181	58				M			
	Jungshin	Lee Jungshin	이정신	정신	1991-09-15	CNBLUE	South Korea		0	0				M	Bassist		
Profile	Jungwon	Yang Jungwon	양정원	정원	2004-02-09	ENHYPEN	South Korea		0	0				M			
	Jungwoo	Kim Jungwoo	김정우	정우	1998-02-19	NCT	South Korea		0	0				M			
	Jungwoo	Uhm Jungwoo	엄정우	정우	1999-04-02	BVNDIT	South Korea		0	0				F			
	Junho	Lee Junho	이준호	준호	1990-01-25	14:00	South Korea		178	67	Ilsan			M			
	Junho	Cha Junho	차준호	준호	2002-07-09	DRIPPIN	South Korea		178	63			X1	M			
	Junhyeok	Kim Junhyeok	임준혁	준혁	1993-07-17		South Korea		0	0			DAY6	M	Keyboardist		
	Junhyuk	Choi Junhyuk	최준혁	준혁	1992-04-21	HOTSHOT	South Korea		0	0	Ulsan			M			
	Junhyuk	Lee Junhyuk	이준혁	이준혁	2000-05-16	Mirae	South Korea		180	63	Seoul			M			
	Junhyung	Yong Junyung	용준형	준형	1989-12-19	Highlight	South Korea		178	64	Seoul		Beast	M			
	Junhyung	Son Junhyung	손준형	준형	2000-10-21	Ghost9	South Korea		0	0				M			
	Junji	Kim Junhyung	김준형	준지	1998-04-06	OnlyOneOf	South Korea		0	0				M			
	Junkyu	Kim Junkyu	김준규	준규	2000-09-09	Treasure	South Korea		0	0				M			
	JunQ	Kang Junkyu	강준규	준규	1993-08-09	MYNAME	South Korea		0	0	Uljeongbu			M			
Profile	Junseo	Kim Junseo	김준서	준서	2001-11-20	WEi	South Korea		177	64	Ulsan		1the9	M			
	Junseo	Hwang Junseo	황준서	준서	2001-01-16	DKB	South Korea		182	67				M			
	Junseo	Park Junseo	박준서	준서	2001-12-28	BAE173	South Korea		0	0				M			
	Junseong	Choi Junseong	최준성	준성	2002-09-29	Ghost9	South Korea		170	55				M			
	Juntae	Kim Juntae	김준태	준태	1995-09-04	MY.st	South Korea		0	0				M			
	Junwook	Kim Junwook	김준욱	준욱	2002-01-10	TheEastLight	South Korea		0	0				M			
	Junyoung	Lee Junyoung	이준영	준영	2000-09-23	IZ	South Korea		0	0				M			
	Juri	Takahashi Juri	타카하시 쥬리	쥬리	1997-10-03	Rocket Punch	Japan		160	44				F			
Profile	Juyeon	Lee Juyeon	이주연	주연	1998-01-16	The Boyz	South Korea		180	67				M			
	Juyeon	Lee Juyeon	이주연	주연	2001-11-06	Saturday	South Korea		164	44				F			
	K.Me	Na Miri	나미리	케이미	1992-04-10	BADKIZ	South Korea		0	0	Yeosu			F		k.me93	
	Kady	Gu Dokyoung	구도경	케이디	1995-04-07	Gate9	South Korea		168	0	Busan			F		kady_g9	
	Kaeun	Lee Kaeun	이가은	가은	1994-08-20	After School	South Korea		0	0	Seoul			F		realkkaaanngg	
	Kahi	Park Jiyoung	박지영	가희	1980-12-25		South Korea		0	0	Daegu		After School	F		imisskahi	
	Kai	Kim Jongin	김종인	카이	1994-01-14	EXO	South Korea		182	65	Suncheon	SuperM		M			
	Kain	Bang Junho	방준호	카인	1997-03-25	ARGON	South Korea		178	0				M			
	Kairi	Imai Kairi	이마이 카이리	카이리	2003-02-24	T1419	Japan		0	0				M			
	Kanghyun	Kang Hyungu	강현구	강현	1998-11-24	Onewe	South Korea		0	0			MAS	M			
	Kangin	Kim Youngwoon	김영운	강인	1985-01-17		South Korea		178	70	Seoul		Super Junior	M			
Profile	Kangmin	Kim Kangmin	김강민	강민	2001-11-13	TRCNG	South Korea		169	0				M			
	Kangmin	Noh Kangmin	노강민	강민	1999-09-05	Romeo	South Korea		0	0				M			
	Kangmin	Yoo Kangmin	유강민	강민	2003-01-25	Verivery	South Korea		0	0				M			
	Kangsung	Lee Kangsung	이강성	강성	2002-08-08	Ghost9	South Korea		0	0				M			
Profile	Karin	Min Karin	민가린	가린	2002-01-05	ELRIS	South Korea		0	0				F			
	Karin	Baek Yerin	백예린	카린	2000-04-23	CRAXY	South Korea		0	0				F			
Profile	Karina	Yoo Jimin	유지민	카리나	2000-04-11	aespa	South Korea		167	45	Gyeonggi			F			
	KB	Shin Kyubin	신규빈	규빈	1994-04-23	OnlyOneOf	South Korea		0	0				M			
Profile	Keeho	Yoon Kiho	윤기호	기호	2001-09-27	P1Harmony	Canada		0	0				M			
Profile	Kei	Kim Jiyeon	김지연	케이	1995-03-20	Lovelyz	South Korea		162	47	Incheon			F			
	Keina	Lee Yoona	이유나	케이나	1999-02-12	H.U.B	South Korea		0	0				F			
	Keita	Terazono Keita	테라조노 케이타	케이타	2001-07-04	Ciipher	Japan		170	59				M			
	Kelly	Lin Kelly	린 켈리	켈리	2002-01-16	TRI.BE	Taiwan		0	0	Kaohsiung			F			
Profile	Ken	Lee Jaehwan	이재환	켄	1992-04-06	VIXX	South Korea		180	65	Seoul			M			
	Kenta	Takada Kenta	타카다 켄타	켄타	1995-01-10	JBJ	Japan		0	0	Fujioka			M			
	Keonhee	Lee Keonhee	김건희	건희	1998-06-27	Oneus	South Korea		0	0				M			
	Keonwoo	Kim Keonwoo	김건우	건우	1996-12-17	MY.st	South Korea		0	0				M			
	Keumjo	Lee Keumjo	이금조	금조	1992-12-17	9Muses	South Korea		167	48	Daegu	9MUSES A		F		keumjo_1217	
	Kevin	Christopher Woo	크리스토퍼 우	케빈	1991-11-25	U-KISS	USA	South Korea	0	0	Los Angeles			M			
	Kevin	Kevin Jiyeop Kim	케빈 지엽 킴	케빈	1988-02-23	ZE:A	South Korea	Australia	0	0	Sydney			M			
Profile	Kevin	Moon Hyungseo	문형서	케빈	1998-02-23	The Boyz	Canada	South Korea	176	66				M			
	Kevin	Baek Seungbin	백승빈	케빈	2001-04-08	T1419	South Korea		0	0				M			
	Key	Kim Kibum	김기범	키	1991-09-23	SHINee	South Korea		179	59	Daegu	Toheart		M			
	Khael	Lee Sangmin	이상민	카엘	2002-01-18	Mirae	South Korea		178	58				M			
	Kiara	Baek Jinjoo	백진주	키아라	1998-08-20		South Korea		0	0				F			
	Kibum	Kim Kibum	김기범	기범	1987-08-21		South Korea		179	58	Seoul		Super Junior	M			
	Kichun	Hwang Kichun	황기천	기천	1992-03-14		South Korea		179	63			Bigflo	M			
	Kid	Kim Junhoe	김준회	키드	1995-10-26	VARSITY	South Korea		177	58				M			
	Kidoh	Jin Hyosang	진효상	키도	1992-12-16		South Korea		0	0	Seoul		Topp Dogg	M			
	Kihyun	Yoo Kihyun	유기현	기현	1993-11-22	MONSTA X	South Korea		0	0	Goyang			M			
Profile	Kim Lip	Kim Jungeun	김정은	김립	1999-02-10	LOONA	South Korea		0	0		Loona Odd Eye Circle		F			
	Kim Sanggyun	Kim Sanggyun	김상균	김상균	1995-05-23	JBJ95	South Korea		0	0	Gwangju	JBJ	Topp Dogg, XENO-T	M			
	Kim Yoon	Kim Seongsu	김성수	김윤	1994-02-17	DUSTIN	South Korea		183	65				M			
Profile	Kino	Kang Hyungku	강형구	키노	1998-01-27	PENTAGON	South Korea		0	0				M			
	Kio	Udo Musashi	우도 무사시	키오	2004-11-28	T1419	South Korea		0	0				M			
	Kiseop	Lee Kiseop	이기섭	기섭	1991-01-17	U-KISS	South Korea		0	0	Seongnam			M			
	Kisu	Choi Kisu	최기수	기수	1990-10-02	24K	South Korea		179	60	Seoul			M			
	Kiwon	Lee Kiwon	이기원	기원	1996-06-27	GIDONGDAE	South Korea		170	0			RAINZ	M		kiwon_1810	
Profile	Kokoro	Kato Kokoro	카토 코코로	코코로	2000-11-01		Japan		0	0			Cherry Bullet	F			
	Kongyeol	Go Minsoo	고민수	고결	1996-05-19	UP10TION	South Korea		0	0	Bucheon			M			
	Kongyoo	Kong Yoojin	공유진	공유	2001-05-11	Bonus Baby	South Korea		163	0				F			
	Kookheon	Kim Kookheon	김국헌	국헌	1997-04-15	B.O.Y	South Korea		0	0			MYTEEN	M			
	Kriesha Chu	Kriesha Ziskind Teo Tiu	크리샤 지스킨드 테오 티우	크리샤 츄	1998-12-20		Philippines		0	0	Cebu			F			
	Kris	Wu Yifan	오역범	크리스	1990-11-06		Canada	China	187	73	Guangzhou		EXO	M			
	Krystal	Krystal Jung	크리스탈 정	크리스탈	1994-10-24	f(x)	South Korea		165	0	San Francisco			F		vousmevoyez	
	Kuhn	Noh Sooil	노수일	쿤	1995-11-11	UP10TION	South Korea		0	0	Ansan			M			
	Kun	Qian Kun	첸쿤	쿤	1996-01-01	NCT	China		0	0				M			
